StartLotKey,WaferId,P_02281_P,P_04928_P,P_05104_P,P_05844_P,P_06198_P,P_06199_P,P_08812_P,P_09320_P,P_09357_P,P_09360_P,P_09366_P,P_09851_P,P_10334_P,P_15926_P,P_16779_P,P_16780_P,P_16874_P,P_16875_P,P_16969_P,P_18071_P,P_00037_P,P_00065_P,P_00097_P,P_00125_P,P_00169_P,P_00863_P,P_00864_P,P_00881_P,P_00882_P,P_03186_P,P_03233_P,P_04800_P,P_05602_P,P_08907_P,P_09529_P,P_00862_P,P_07882_P,Label
4155473,5473-11,0.362,-4096.47,3348.6,0.685,102.311,99.977,0.286,0.192,86.082,85.923,88.038,-0.041,94.906,0.348,-32.816,-30.864,-710.48,-673,-86.326,453.9,14.643,33.98,30.115,15.739,31.8,282.789,205.556,0.384,0.208,21.65,24.416,6.211,678.65,-428.65,-423,1.41243E+11,807.1,Low
4140223,0223-05,0.358,-3906.07,3087.4,0.65,98.219,96.14,0.437,0.182,84.514,85.94,87.02,-0.033,102.594,0.339,-33.018,-31.318,-724.495,-689.6,-89.722,480.5,15.763,40.594,33.361,16.417,34.295,374.475,217.499,0.46,0.506,21.542,24.287,5.465,570.9,-335.45,-435.3,1.1206E+11,839.8,Low
4173913,3913-15,0.354,-3970.13,3146.2,0.647,98.15,98.544,0.319,0.166,86.504,86.996,88.388,-0.034,101.484,0.356,-32.386,-30.098,-701.894,-656,-95.922,473,15.61,33.866,30.226,16.204,29.696,281.274,223.944,0.123,0.379,21.585,24.298,6.166,596.4,-1574,-418.9,55799700000,833.1,Low
4155473,5473-19,0.366,-3297.97,3238.4,0.692,100.043,96.822,0.185,0.202,86.411,87.251,87.92,-0.059,94.531,0.348,-32.954,-30.928,-712.879,-673.6,-90.543,450.2,17.385,34.645,36.382,17.349,32.447,283.171,207.343,0.494,0.546,21.748,24.452,6.221,598.2,-379,-421.4,1.69492E+11,797.6,Low
4173913,3913-25,0.348,-4274.7,3186.2,0.652,102.021,99.8,0.32,0.19,86.132,85.654,88.544,-0.04,101.656,0.357,-32.437,-30.178,-702.399,-659.8,-87.008,471.2,16.049,33.991,29.764,15.772,30.825,277.863,224.481,0.108,0.238,21.583,24.258,5.956,593.9,-1599,-417.7,66794700000,829.5,Low
4135643,5643-03,0.34,-5892.71,3277.4,0.585,98.86,93.257,0.174,0.19,86.546,85.963,85.804,-0.027,116.969,0.335,-33.775,-31.284,-730.177,-685,-92.891,522.4,15.815,36.652,31.92,15.986,31.973,308.095,212.819,0.259,0.35,21.525,24.29,6.108,669.7,-380.05,-429.5,52760000000,899.6,Low
4140233,0233-10,0.362,-3882.18,3128.6,0.653,96.325,91.521,0.533,0.218,86.961,86.744,88.142,-0.02,102.703,0.336,-31.869,-29.204,-698.485,-641.6,-83.169,477.7,18.717,43.293,37.428,19.186,38.892,308.548,202.04,0.208,0.268,21.073,24.217,5.646,584.15,-314.35,-428.9,1.4273E+11,837.2,Low
4162983,2983-07,0.38,-2887.7,3120.6,0.687,99.571,101.254,0.417,0.198,86.073,87.672,88.411,-0.062,94.359,0.349,-32.652,-30.43,-709.596,-666,-87.715,443.6,17.635,43.694,35.465,18.741,34.408,277.435,247.194,0.222,0.155,21.808,24.363,6.493,532.2,-346.75,-418.7,1.12994E+11,795.7,Low
4155473,5473-08,0.368,-3767.87,3303.4,0.682,99.422,99.363,0.332,0.207,86.957,85.642,88.538,-0.059,95.203,0.352,-32.866,-31.192,-712.626,-676.8,-88.977,451.7,15.439,32.859,32.195,15.658,31.534,363.144,205.417,0.426,0.305,21.803,24.452,6.383,627.05,-367.65,-424.4,1.04302E+11,801.4,Low
4140233,0233-14,0.358,-3654.88,3093.6,0.646,95.385,96.406,0.57,0.225,88.004,86.73,87.874,-0.021,102.094,0.336,-32.02,-29.666,-703.157,-652.6,-83.22,481.4,16.901,38.631,33.99,18.115,33.119,311.754,215.993,0.751,0.986,21,24.164,5.874,588.5,-312.55,-434.2,1.05932E+11,844.2,Low
